Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2019-01-02,212.0,214.45,210.1,210.6,211.76,9478.0,260.0,2007055.0,3649.0,38.5,4.35,-1.4
2019-01-03,211.3,212.95,208.0,209.1,209.96,10609.0,273.0,2227484.0,5524.0,52.07,4.95,-2.2
2019-01-04,209.1,209.45,204.95,207.0,207.23,7676.0,204.0,1590709.0,2665.0,34.72,4.5,-2.1
2019-01-07,209.0,210.8,206.0,207.0,208.17,8778.0,260.0,1827320.0,2840.0,32.35,4.8,-2.0
2019-01-08,206.45,206.7,204.1,205.8,205.82,5184.0,179.0,1066973.0,1540.0,29.71,2.6,-0.65
2019-01-09,207.35,215.95,207.35,211.55,212.59,36906.0,1078.0,7845945.0,7473.0,20.25,8.6,4.2
2019-01-10,211.4,212.65,209.4,210.8,211.18,7738.0,243.0,1634120.0,1580.0,20.42,3.25,-0.6
2019-01-11,209.85,213.0,208.9,211.85,210.94,11103.0,308.0,2342017.0,2763.0,24.89,4.1,2.0
2019-01-14,210.3,211.8,206.65,208.0,209.49,9421.0,240.0,1973579.0,3464.0,36.77,5.15,-2.3
2019-01-15,209.9,211.95,208.8,210.65,210.72,6928.0,169.0,1459851.0,3488.0,50.35,3.15,0.75
2019-01-16,210.25,211.9,208.9,209.65,210.27,7569.0,189.0,1591533.0,2779.0,36.72,3.0,-0.6
2019-01-17,210.5,212.4,208.0,209.65,210.22,9251.0,199.0,1944761.0,2944.0,31.82,4.4,-0.85
2019-01-18,209.7,209.7,205.05,207.15,207.79,5794.0,172.0,1203910.0,2562.0,44.22,4.65,-2.55
2019-01-21,204.9,207.35,200.7,201.65,203.71,15947.0,369.0,3248509.0,7559.0,47.4,6.65,-3.25
2019-01-22,200.9,202.6,194.3,195.95,198.44,20179.0,465.0,4004282.0,9217.0,45.68,8.3,-4.95
2019-01-23,196.4,202.0,196.0,199.2,199.08,12333.0,338.0,2455203.0,3145.0,25.5,6.0,2.8
2019-01-24,199.45,200.65,193.95,195.15,195.86,17912.0,462.0,3508228.0,8748.0,48.84,6.7,-4.3
2019-01-25,197.15,198.55,187.95,189.15,192.53,15928.0,410.0,3066607.0,4365.0,27.4,10.6,-8.0
2019-01-28,190.1,191.7,184.4,187.6,187.13,13705.0,381.0,2564591.0,5072.0,37.01,7.3,-2.5
2019-01-29,187.05,191.2,184.35,186.1,186.8,11627.0,300.0,2171961.0,4066.0,34.97,6.85,-0.95
2019-01-30,188.0,188.25,181.0,185.15,186.73,25462.0,225.0,4754538.0,18746.0,73.62,7.25,-2.85
2019-01-31,186.9,193.0,186.5,188.8,189.26,19086.0,535.0,3612251.0,2716.0,14.23,6.5,1.9
2019-02-01,189.05,191.9,187.5,188.95,189.37,11619.0,286.0,2200267.0,3746.0,32.24,4.4,-0.1
2019-02-04,189.55,190.15,184.95,186.15,187.51,10754.0,449.0,2016494.0,1414.0,13.15,5.2,-3.4
2019-02-05,187.45,189.25,183.5,185.15,186.43,6933.0,240.0,1292530.0,2080.0,30.0,5.75,-2.3
2019-02-06,186.85,187.75,179.0,183.4,182.05,31089.0,631.0,5659836.0,16023.0,51.54,8.75,-3.45
2019-02-07,183.9,185.5,180.6,183.4,183.76,35580.0,735.0,6538057.0,3678.0,10.34,4.9,-0.5
2019-02-08,182.75,184.05,180.6,181.15,182.56,14054.0,492.0,2565669.0,2844.0,20.24,3.45,-1.6
2019-02-11,181.95,185.1,180.2,183.05,182.03,32347.0,834.0,5888186.0,3196.0,9.88,4.9,1.1
2019-02-12,182.75,184.15,181.2,181.75,182.31,11231.0,324.0,2047536.0,3022.0,26.91,2.95,-1.0
2019-02-13,182.4,186.05,180.4,181.35,183.63,36669.0,809.0,6733683.0,2797.0,7.63,5.65,-1.05
2019-02-14,184.0,184.8,178.95,182.4,182.65,13121.0,368.0,2396543.0,4139.0,31.54,5.85,-1.6
