Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1995-05-23,12.25,12.5,12.25,12.5,0.0,0.0,0.0,0.0,,,0.25,0.25
1995-05-24,14.0,16.5,13.0,14.0,0.0,0.0,0.0,0.0,,,3.5,0.0
1995-05-25,13.75,13.75,13.75,13.75,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-05-26,14.0,14.0,13.5,13.5,0.0,0.0,0.0,0.0,,,0.5,-0.5
1995-05-29,13.75,14.0,13.5,13.5,0.0,0.0,0.0,0.0,,,0.5,-0.25
1995-05-30,13.25,13.25,12.25,12.5,0.0,0.0,0.0,0.0,,,1.0,-0.75
1995-05-31,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-06-01,13.0,13.5,13.0,13.25,0.0,0.0,0.0,0.0,,,0.5,0.25
1995-06-02,13.5,14.0,13.5,13.5,0.0,0.0,0.0,0.0,,,0.5,0.0
1995-06-05,13.5,14.0,13.5,14.0,0.0,0.0,0.0,0.0,,,0.5,0.5
1995-06-06,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-06-07,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-06-08,12.5,12.5,12.0,12.0,0.0,0.0,0.0,0.0,,,0.5,-0.5
1995-06-09,12.5,12.5,12.5,12.5,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-06-12,11.75,12.5,11.75,12.5,0.0,0.0,0.0,0.0,,,0.75,0.75
1995-06-13,11.5,11.5,11.5,11.5,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-06-14,12.75,14.0,12.0,12.5,0.0,0.0,0.0,0.0,,,2.0,-0.25
1995-06-15,13.5,14.0,12.5,13.25,0.0,0.0,0.0,0.0,,,1.5,-0.25
1995-06-16,12.5,13.5,12.5,13.5,0.0,0.0,0.0,0.0,,,1.0,1.0
